id	jurisdiction	name	type	target	announcement_date	effective_date	enforcement_date	removal_date	removal_method	removal_details	booster_id	duration_days	compliance	exemptions	executive_orders	enforcement_measures	authority	communications	vaccine_eligibility_info	vaccine_availability_info	ATAGI	uptake	popu_info	notes	source	ref_code	ref_no
1	WA	Mandatory Vaccination Policy Phased Approach Group 1	Employment	Hotel quarantine workers	2021-04-20	2021-04-27	2021-04-27	2022-02-05	revoked by another document		43	291	Fully vaccinated by 10 May 2021	does not include a quarantine centre driver.\n(a) law enforcement; or\n(b) responding to an emergency other than COVID-19; or\n(c) performing maintenance or repairs, but only to the extent that, due to the nature\nof the maintenance or repairs, it is not reasonably practicable for a quarantine\ncentre worker who is vaccinated against COVID-19 to perform the maintenance\nor repairs and the person who is able to perform the maintenance or repairs is\nnot eligible to be vaccinated against COVID-19 at the time that the maintenance\nor repairs are required to be performed.	Access to Quarantine Centres Directions (No 2)	It is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.	Public Health Order	WA Government Annoucement\nNews articles	22/02/2021 for front line workers	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years.	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility			WA Government Annoucement	WAEHQW0000	1417\n4548\n4610
2	WA	COVID-19 Mandatory Vaccination and Vaccination Program Policy Version 2	Employment	WA health system entities and employees in a Residential aged care facility	2021-06-30	2021-08-09	2021-09-17	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration	"Policy replaced by a newer version on 13/01/22 \n06/19/21 Direction No.1 revoked by No.2 which added the ""fully vaccinated by 17 November 2021"" date\n22/09/21 - Direction No.2 replaced by No.3 which added a ""further public state of emergency made on 22/09/21"" notice. No change in mandate requirements.  No revocation section\n11/10/21 - No.3 revoked by No.4 which added a revocation section"	38	492	First dose by 17 September 2021\nFully vaccinated by 17 November 2021	1. a permanent medical exemption authorised by a medical practitioner\n2. a temporary medical exemption authorised by a medical practitioner\n3. an authorised temporary exemption or exception due to the inability to access a\nCOVID-19 vaccine\n4. an authorised temporary exemption or exception due to a critical workforce\nshortage, to maintain the provision of quality of care or to protect the health and\nsafety of residents, or\n5. an authorised exemption or exception related to another category in the relevant\nstate or territory public health order.	Residential Aged Care Facility Worker Access Directions.	Unvaccinated Employees will initially be allowed to remain away from the workplace for a period\nof two weeks without disciplinary action being commenced – the Preliminary Access Restriction\nPeriod (PARP). The PARP provides time for the Employee to make a decision regarding their\nintention to be Vaccinated and/or to receive a COVID-19 vaccine, prior to commencement of\nformal disciplinary proceedings. The PARP will be unpaid.\nFollowing the expiration of the two week PARP, the Employer may initiate disciplinary proceedings\nin accordance with the Discipline Policy and Procedures.\nAny decision to initiate disciplinary action, and subsequent disciplinary outcomes, will be\nconsidered on a case by case basis and compliant with the Discipline Policy and Procedures.\nGiven the access restrictions provided for by the Aged Care Worker Directions, termination of\nemployment is a potential outcome for instances of non-compliance.\nIt is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	WA Chief Health Officer	WA Government Annoucement\nNews articles\nRelease of guidelines\nAustralian Government news announcement\nNational Cabinet agreed on 28/06/21 that the COVID-19 vaccination of residential\naged care workers will become mandatory by mid-September 2021.	22/02/2021 for front line workers\nAll West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years. \n8/10/21 - booster recommended for severely immunocompromised people\n28/10/21 - Pfizer booster recommended for adults ≥ 18, 6 months past 2nd dose	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility		V1 of the policy is not included as it doesn't have a vaccine requirement\nPolicy published date is 16/09/21 but directions were published 09/08/21\nNational Cabinet agreed on 28/06/21 that the COVID-19 vaccination of residential aged care workers will become mandatory by mid-September 2021 across all states.	Department of Health\nPolicy Framework	WAERAC00V2	1237\n1157\n233\n1158\n4645
3	WA	WA Police Mission Critical areas	Employment	Mission critical area worker in mission critical areas		2021-09-22	2021-09-27	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration			408														WAEPOL00V1	
4	WA	COVID-19 Mandatory Vaccination and Vaccination Program Policy Version 2	Employment	Health care worker - Tier 1 health care facilities	2021-09-02	2021-09-16	2021-10-01	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration	"13/01/2022 - policy replaced by a new version\n16/09/21 - Direction No.1 revoked by No.2. No mandate changes\nNo. 3 came into effect but directions doesn't have a revocation section, no mandate changes.\nNo.3 revoked by No.4 which removed the exemption clause: \n""performing a law enforcement function that cannot reasonably be performed other than by entering the health care facility"""	37	428	·       First dose by 1 October 2021\n·       Fully vaccinated by 1 November 2021\nevidence in the form approved by the Chief Health Officer that they have\nbeen vaccinated against COVID-19, if:\n(a) directed to do so by an emergency officer; or\n(b) required to do so by their employer or by the owner, occupier or person\napparently in charge of a health care facility.	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions. Or if they are:\n(a) performing a law enforcement function that cannot reasonably be performed\nother than by entering the health care facility; or\n(b) performing a statutory duty that cannot reasonably be performed other than by entering the health care\nfacility; or\n(c) performing any function or duty or exercising any right or power under a Fair\nWork entry permit; or\n(d) responding to an emergency in a capacity other than as a health care worker or\na health support worker; or\n(e) providing emergency care to a patient in the health care facility where the\nemergency care is necessary to be provided immediately and a fully vaccinated\nor a partially vaccinated health care worker or health support worker is not available to provide that emergency care\nOr an ad hoc volunteer	Health Worker (Restrictions on Access) Directions	Unvaccinated Employees will initially be allowed to remain away from the workplace for a period\nof two weeks without disciplinary action being commenced – the Preliminary Access Restriction\nPeriod (PARP). The PARP provides time for the Employee to make a decision regarding their\nintention to be Vaccinated and/or to receive a COVID-19 vaccine, prior to commencement of\nformal disciplinary proceedings. The PARP will be unpaid.\nFollowing the expiration of the two week PARP, the Employer may initiate disciplinary proceedings\nin accordance with the Discipline Policy and Procedures.\nAny decision to initiate disciplinary action, and subsequent disciplinary outcomes, will be considered on a case by case basis and compliant with the Discipline Policy and Procedures.\nGiven the access restrictions provided for by the Aged Care Worker Directions, termination of\nemployment is a potential outcome for instances of non-compliance.\nIt is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.\n	Public Health Order	WA Government Annoucement on 16/09/21\nNews articles\nRelease of guidelines\nHon Roger Cook media announcement on 02/09/21	22/02/2021 for front line workers\nAll West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years. \n8/10/21 - booster recommended for severely immunocompromised people\n28/10/21 - Pfizer booster recommended for adults ≥ 18, 6 months past 2nd dose	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility	0.1% (52/50000) of the WA Department of Health's employees have quit due to the mandate\n	V1 of the policy is not included as it doesn't have a vaccine requirement\nTier 1 means: an intensive care unit within a hospital; or (b) a high dependency unit within a hospital; or\n(c) a respiratory ward within a hospital; or\n(d) a ward within a high risk regional hospital that has one or more designated respiratory beds; or\n(e) an emergency department within a hospital; or\n(t) a COVID clinic; or\n(g) a COVID-19 vaccination community clinic; or\n(h) a regional COVID-19 vaccination clinic\n(i) any other facility that is specified to be a tier one health care facility by the Chief\nHealth Officer in writing or any person authorised by him for that purpose.\n	Department of Health\nPolicy Framework	WAEHCWT1V2	1237\n214\n4499\n1158\n2547
5	WA	COVID-19 Mandatory Vaccination and Vaccination Program Policy Version 2	Employment	Health support worker - Tier 1 health care facilities	2021-09-02	2021-09-16	2021-10-01	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration	"13/01/2022 - policy replaced by a new version\n16/09/21 - Direction No.1 revoked by No.2. No mandate changes\nNo. 3 came into effect but directions doesn't have a revocation section, no mandate changes.\nNo.3 revoked by No.4 which removed the exemption clause: \n""performing a law enforcement function that cannot reasonably be performed other than by entering the health care facility"""	37	428	·       First dose by 1 October 2021\n·       Fully vaccinated by 1 November 2021\nevidence in the form approved by the Chief Health Officer that they have\nbeen vaccinated against COVID-19, if:\n(a) directed to do so by an emergency officer; or\n(b) required to do so by their employer or by the owner, occupier or person\napparently in charge of a health care facility.	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions. Or if they are:\n(a) performing a law enforcement function that cannot reasonably be performed\nother than by entering the health care facility; or\n(b) performing a statutory duty that cannot reasonably be performed other than by entering the health care\nfacility; or\n(c) performing any function or duty or exercising any right or power under a Fair\nWork entry permit; or\n(d) responding to an emergency in a capacity other than as a health care worker or\na health support worker; or\n(e) providing emergency care to a patient in the health care facility where the\nemergency care is necessary to be provided immediately and a fully vaccinated\nor a partially vaccinated health care worker or health support worker is not available to provide that emergency care\nOr an ad hoc volunteer	Health Worker (Restrictions on Access) Directions.	Unvaccinated Employees will initially be allowed to remain away from the workplace for a period\nof two weeks without disciplinary action being commenced – the Preliminary Access Restriction\nPeriod (PARP). The PARP provides time for the Employee to make a decision regarding their\nintention to be Vaccinated and/or to receive a COVID-19 vaccine, prior to commencement of\nformal disciplinary proceedings. The PARP will be unpaid.\nFollowing the expiration of the two week PARP, the Employer may initiate disciplinary proceedings\nin accordance with the Discipline Policy and Procedures.\nAny decision to initiate disciplinary action, and subsequent disciplinary outcomes, will be considered on a case by case basis and compliant with the Discipline Policy and Procedures.\nGiven the access restrictions provided for by the Aged Care Worker Directions, termination of\nemployment is a potential outcome for instances of non-compliance.\nIt is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.	Public Health Order	WA Government Annoucement on 16/09/21\nNews articles\nRelease of guidelines\nHon Roger Cook media announcement on 02/09/21	22/02/2021 for front line workers\nAll West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years. \n8/10/21 - booster recommended for severely immunocompromised people\n28/10/21 - Pfizer booster recommended for adults ≥ 18, 6 months past 2nd dose	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility	0.1% (52/50000) of the WA Department of Health's employees have quit due to the mandate\n	V1 of the policy is not included as it doesn't have a vaccine requirement\nTier 1 means: an intensive care unit within a hospital; or (b) a high dependency unit within a hospital; or\n(c) a respiratory ward within a hospital; or\n(d) a ward within a high risk regional hospital that has one or more designated respiratory beds; or\n(e) an emergency department within a hospital; or\n(t) a COVID clinic; or\n(g) a COVID-19 vaccination community clinic; or\n(h) a regional COVID-19 vaccination clinic\n(i) any other facility that is specified to be a tier one health care facility by the Chief\nHealth Officer in writing or any person authorised by him for that purpose.\n	Department of Health\nPolicy Framework	WAEHSWT1V2	1237\n214\n4499\n1158\n2547
6	WA	Mandatory Vaccination Policy Phased Approach Group 1	Employment	At risk port workers\nExposed vessel workers, exposed vessel contact workers and exposed vessel transport workers	2021-09-21	2021-09-20	2021-10-15	2022-11-04	End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration\nNot sure if the directions were lifted earlier	"22/09/21 - Direction No.1 replaced by No.2 which added a ""further public state of emergency made on 22/09/21"" notice. No change in mandate requirements.  No revocation section\n20/10/21 - No.2 revoked by No.3 which added the revocation section\n25/11/21 - Port Worker and Exposed Port Worker (Restrictions on Access) Directions added restrictions for unexposed port workers"	52	409	First dose by 15 October 2021\n·       Fully vaccinated by 12 November 2021\nMust provide proof of vaccination on request\n\nEach employer or person in charge of an exposed port worker must: (a) take all reasonable and lawful steps to collect and maintain a record of the vaccination statuses of workers and provide that information on request	Unexposed vessels\n(a)an exposed vessel worker who is not vaccinated against COVID-19 from\nembarking or performing work on an unexposed vessel; or\n(b) an exposed vessel contact worker who is not vaccinated against COVID-19\nfrom entering or remaining at a port location to carry out port activities, or\nundertake a service, in connection with an unexposed vessel; or\n(c) an exposed vessel transport worker who is not vaccinated against COVID-19\nfrom entering or remaining upon a dedicated conveyance in order to carry only\npersons disembarking from an unexposed vessel.\nExposed vessels\n(a) performing a law enforcement function that cannot reasonably be performed other than by embarking the exposed vessel or the dedicated conveyance; or\n(b) performing a statutory duty that cannot reasonably be performed otherwise; or\n(c) performing any function or duty or exercising any right or power under a Fair Work entry permit or a right\nof entry permit; or\n(d) responding to an emergency in a capacity other than as an ambulance officer or health care worker,	Exposed Port Worker (Restrictions on Access) Directions\nExposed On-Board Worker Directions (No. 2)	It is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.\n	Public Health Order		22/02/2021 for front line workers\nAll West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years. \n8/10/21 - booster recommended for severely immunocompromised people\n28/10/21 - Pfizer booster recommended for adults ≥ 18, 6 months past 2nd dose	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility			WA Government Annoucement	WAEPOWT100	1161
7	WA	Mandatory Vaccination Policy Phased Approach Group 1	Employment	At risk transport, freight and logistics drivers	2021-09-24		2021-10-24	2022-06-10	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration		52	259	First dose by 24/10/21\nFully vaccinated by 24/12/21\nMust wear facemask and show proof of a negative COVID-19 test result or undertake a RAT at the WA border		Transport, Freight and Logistics Directions under the Emergency Management Act 2005		Public Health Order		22/02/2021 for front line workers\nAll West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21	21/02/2021 for front line workers	ATAGI recommends that the COVID-19 vaccine by Pfizer is preferred over COVID-19 Vaccine AstraZeneca in adults aged under 50 years. \nCOVID-19 Vaccine AstraZeneca can be used in adults aged under 50 years – where the benefits are likely to outweigh the risks for that individual and the person has made an informed decision based on an understanding of the risks and benefits. \nPeople who have had the first dose of COVID-19 Vaccine AstraZeneca without any serious adverse effects can be given the second dose, including adults under 50 years. \n8/10/21 - booster recommended for severely immunocompromised people\n28/10/21 - Pfizer booster recommended for adults ≥ 18, 6 months past 2nd dose	more than 2,800 frontline workers receiving their first dose of the Pfizer vaccine in the first week of elegibility			WA Government Annoucement	WAETFLT1V1	4505
8	WA	Mandatory Vaccination Policy Phased Approach	Employment	Primary health care workers in private provider facilities, including general practitioners, private nurse offices and consulting offices, pharmacies, dental centres, allied health facilities and private pathology centres.	2021-09-02	2021-10-25	2021-11-01	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration			428	First dose by 1/11/21. Fully vaccinated by 1/12/21\nevidence in the form approved by the Chief Health Officer that they have\nbeen vaccinated against COVID-19, if:\n(a) directed to do so by an emergency officer; or\n(b) required to do so by their employer or by the owner, occupier or person\napparently in charge of a health care facility.	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions. Or if they are:\n(a) performing a law enforcement function that cannot reasonably be performed\nother than by entering the health care facility; or\n(b) performing a statutory duty that cannot reasonably be performed other than by entering the health care\nfacility; or\n(c) performing any function or duty or exercising any right or power under a Fair\nWork entry permit; or\n(d) responding to an emergency in a capacity other than as a health care worker or\na health support worker; or\n(e) providing emergency care to a patient in the health care facility where the\nemergency care is necessary to be provided immediately and a fully vaccinated\nor a partially vaccinated health care worker or health support worker is not available to provide that emergency care\nOr an ad hoc volunteer	Primary Health Care Worker\n(Restrictions on Access) Directions	Unvaccinated Employees will initially be allowed to remain away from the workplace for a period\nof two weeks without disciplinary action being commenced – the Preliminary Access Restriction\nPeriod (PARP). The PARP provides time for the Employee to make a decision regarding their\nintention to be Vaccinated and/or to receive a COVID-19 vaccine, prior to commencement of\nformal disciplinary proceedings. The PARP will be unpaid.\nFollowing the expiration of the two week PARP, the Employer may initiate disciplinary proceedings\nin accordance with the Discipline Policy and Procedures.\nAny decision to initiate disciplinary action, and subsequent disciplinary outcomes, will be considered on a case by case basis and compliant with the Discipline Policy and Procedures.\nGiven the access restrictions provided for by the Aged Care Worker Directions, termination of\nemployment is a potential outcome for instances of non-compliance.\nIt is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.\n	Public Health Order	WA Government Annoucement on 09/10/21\nNews articles\nRelease of guidelines\nHon Roger Cook media announcement on 02/09/21	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	27/12/21 - recommends Pfizer booster for adults with a 5 month interval after 2nd dose		0.1% (52/50000) of the WA Department of Health's employees have quit due to the mandate\n		Public Health Direction	WAEHCWT2V1	214\n4499\n1159
9	WA	Mandatory Vaccination Policy Phased Approach	Employment	Tier 2 Health care workers	2021-09-02	2021-09-16	2021-11-01	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration	"16/09/21 - Direction No.1 revoked by No.2. No mandate changes\nNo. 3 came into effect but directions doesn't have a revocation section, no mandate changes.\nNo.3 revoked by No.4 which removed the exemption clause: \n""performing a law enforcement function that cannot reasonably be performed other than by entering the health care facility"""		428	First dose by 1/11/21. Fully vaccinated by 1/12/21\nevidence in the form approved by the Chief Health Officer that they have\nbeen vaccinated against COVID-19, if:\n(a) directed to do so by an emergency officer; or\n(b) required to do so by their employer or by the owner, occupier or person\napparently in charge of a health care facility.	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions. Or if they are:\n(a) performing a law enforcement function that cannot reasonably be performed\nother than by entering the health care facility; or\n(b) performing a statutory duty that cannot reasonably be performed other than by entering the health care\nfacility; or\n(c) performing any function or duty or exercising any right or power under a Fair\nWork entry permit; or\n(d) responding to an emergency in a capacity other than as a health care worker or\na health support worker; or\n(e) providing emergency care to a patient in the health care facility where the\nemergency care is necessary to be provided immediately and a fully vaccinated\nor a partially vaccinated health care worker or health support worker is not available to provide that emergency care\nOr an ad hoc volunteer	Health Worker (Restrictions on Access) Directions.	Unvaccinated Employees will initially be allowed to remain away from the workplace for a period\nof two weeks without disciplinary action being commenced – the Preliminary Access Restriction\nPeriod (PARP). The PARP provides time for the Employee to make a decision regarding their\nintention to be Vaccinated and/or to receive a COVID-19 vaccine, prior to commencement of\nformal disciplinary proceedings. The PARP will be unpaid.\nFollowing the expiration of the two week PARP, the Employer may initiate disciplinary proceedings\nin accordance with the Discipline Policy and Procedures.\nAny decision to initiate disciplinary action, and subsequent disciplinary outcomes, will be considered on a case by case basis and compliant with the Discipline Policy and Procedures.\nGiven the access restrictions provided for by the Aged Care Worker Directions, termination of\nemployment is a potential outcome for instances of non-compliance.\nIt is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.\n	Public Health Order	WA Government Annoucement\nNews articles\nRelease of guidelines\nHon Roger Cook media announcement on 02/09/21	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	27/12/21 - recommends Pfizer booster for adults with a 5 month interval after 2nd dose		0.1% (52/50000) of the WA Department of Health's employees have quit due to the mandate\n	Tier 2: (a) a hospital, including any ancillary facilities located on the land on which the\nhospital is located and the land itself\n(b) any other facility that is specified to be a tier three health care facility by the\nChief Health Officer in writing or any person authorised by him for that purpose.	Public Health Direction	WAEHCWT2V2	214\n4499\n1159
10	WA	WA's Safe Transition Plan 1	Public Space,Travel	travellers from medium risk jurisdictions to enter WA	2021-10-30		2021-11-05	2022-02-05	Implied as Plan 2 was announced			98	Fully vaccinated by 5/11/21\nundertake 14 days of self-quarantine at suitable premises\nwear a mask if practicable and available from when they enter WA until they arrive at suitable self-quarantine premises or government-approved quarantine facilities\npresent for a COVID-19 test within 48 hours of arrival and on day 11 of quarantine, or at any point when symptoms develop	certain senior Government officials;\ncertain active military personnel;\na member of the Commonwealth Parliament;\na person carrying out functions under a law of the Commonwealth;\na person carrying out a limited range of specialist functions; and\nanyone who is given approval by State Emergency Coordinator or an authorised officer.			Public Health Order	Announcement of WA's Safe Transition Plan\nAnnouncement on the WA Government website on the enforcement date\nAnnouncements on the WA Government website on changes in the risk level of other states always include mandate compliance requirements and exemptions\nInfographics from Services WA and wa.gov\n	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information				developed with delta variant in mind	WA Government Annoucement	WAPISTT3V1	4537\n33
